place,child_lat,child_lon,current_name,type,parent_node,parent_lat,parent_lon,is_single,creation_date,comment,oblast,
Шепетівка,50.1757487,27.0559924,,raion,???,,,TRUE,1941-07-19 00:00:00,,Хмельницька,
Київ,50.4501,30.5234,,"kray, oblast",Львів,49.839683,24.029717,FALSE,1941-10-01,,Київська,
Біла Церква Київської обл.,49.7967977,30.1310853,,"okruga, raion, nadraion",,,,TRUE,1941-08-01 00:00:00,,Київська,
Біла Церква Київської обл.,49.7967977,30.1310853,,"okruga, raion, nadraion",Київ,50.4501,30.5234,FALSE,1941-10-01 00:00:00,,Київська,
Великополовецьке Київської обл.,49.8700306,29.94314079999999,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Гребінки Київської обл.,49.9550557,30.1778779,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Узин Київської обл.,49.82478829999999,30.4053369,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Рокитне Київської обл.,49.6911802,30.4780154,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Ставище Київської обл.,49.3909134,30.1988199,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Володарка Київської обл.,49.5265342,29.9197237,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,"Районного проводу не було, лише два кущові проводи.",Київська,
Сквира Київської обл.,49.7328752,29.6642903,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Тетіїв Київської обл.,49.3663943,29.6583812,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,,Київська,
Тараща Черкаської обл.,49.347264,31.1215659,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-01 00:00:00,До грудня 1942 р. мав зв'язок з БЦ окружним проводом,Київська,
Васильків Київської обл.,50.1770891,30.3196385,,"okruga, raion, nadraion",,,,TRUE,1941-08-01 00:00:00,,Київська,
Васильків Київської обл.,50.1770891,30.3196385,,"okruga, raion, nadraion",Київ,50.4501,30.5234,FALSE,1941-10-01 00:00:00,,Київська,
Фастів Київської обл.,50.0637682,29.90496839999999,,raion,Васильків,50.1770891,30.3196385,FALSE,1941-08-01 00:00:00,,Київська,
